edun	1070866	805
izan	901064	677.35
ez	405258	304.64
eta	330150	248.18
egin	263508	198.08
esan	218476	164.23
bat	213993	160.86
egon	186299	140.04
ni	158122	118.86
zer	148819	111.87
hori	140036	105.26
baina	136078	102.29
bai	106108	79.76
joan	105614	79.39
ere	105428	79.25
jakin	103207	77.58
zu	97512	73.3
behar	89823	67.52
nahi	89557	67.32
bera	88606	66.6
ikusi	64984	48.85
eman	64766	48.68
ba	62262	46.8
ondo	58506	43.98
aritu	57758	43.41
hartu	56036	42.12
beste	53603	40.29
dena	53123	39.93
hi	46806	35.18
jo	46519	34.96
geratu	46496	34.95
oso	46133	34.67
hau	45339	34.08
etorri	44921	33.76
begi	44885	33.74
al	43494	32.69
buru	42262	31.76
sartu	41890	31.49
hasi	40431	30.39
begiratu	40367	30.34
bere	40097	30.14
orain	39540	29.72
bi	38424	28.88
ezer	37237	27.99
eduki	36407	27.36
ate	35385	26.6
utzi	35174	26.44
jarri	34649	26.04
on	34218	25.72
hitz	33766	25.38
asko	32531	24.45
ibili	32382	24.34
gero	31925	23.99
ezin	31868	23.95
begira	31851	23.94
lan	30480	22.91
etxe	29769	22.37
batean	29480	22.16
atera	29270	22
irribarre	28850	21.68
gu	28632	21.52
esku	28518	21.43
aurre	27218	20.46
berri	26252	19.73
ordu	25943	19.5
ezta	25437	19.12
hemen	25172	18.92
gauza	25140	18.89
entzun	24877	18.7
zerbait	24775	18.62
gabe	24740	18.59
alde	24621	18.5
guzti	24549	18.45
gertatu	24348	18.3
zuek	23731	17.83
gain	23647	17.77
bakar	23246	17.47
uste	23123	17.38
don	22966	17.26
ama	22703	17.06
lasai	22520	16.92
nola	21433	16.11
kontu	21402	16.08
pentsatu	21237	15.96
esker	20862	15.68
arte	20561	15.45
dela	20371	15.31
modu	20325	15.27
eseri	20020	15.04
baino	19944	14.99
aita	19596	14.73
egun	19392	14.57
batzuk	19357	14.55
bezala	19304	14.51
orduan	19217	14.44
handi	19143	14.39
edo	19010	14.29
elkar	18985	14.27
bakarrik	17848	13.41
harritu	17690	13.29
azken	17662	13.27
horretan	17465	13.12
ulertu	17407	13.08
une	16892	12.69
egia	16382	12.31
zergati	16292	12.24
zergatik	16229	12.19
gehiago	16209	12.18
barre	16207	12.18
lagun	15920	11.96
pasatu	15803	11.87
hura	15604	11.73
hala	15485	11.64
tira	15126	11.37
zen	15076	11.33
aurpegi	14989	11.26
mahai	14644	11
serio	14453	10.86
hartz	14225	10.69
lehen	13731	10.32
gainera	13549	10.18
jarraitu	13505	10.15
irudi	13347	10.03
telefono	13288	9.98
horrela	13239	9.95
pausa	13193	9.91
nor	13029	9.79
isil	13021	9.78
eraman	12870	9.67
neska	12697	9.54
oraindik	12682	9.53
poz	12638	9.5
handiaezin	12608	9.47
mesede	12547	9.43
kezkatu	12487	9.38
gaur	12347	9.28
horixe	12323	9.26
beti	12295	9.24
zera	12258	9.21
hurbildu	12197	9.16
barkatu	12196	9.16
pasa	12117	9.1
irten	12009	9.02
berriz	11867	8.92
deitu	11855	8.91
emakume	11847	8.9
burua	11715	8.8
atze	11699	8.79
gara	11645	8.75
inor	11631	8.74
sentitu	11495	8.64
barra	11381	8.55
batez	11273	8.47
kale	11220	8.43
erantzun	11215	8.43
isilik	11210	8.42
horiek	11169	8.39
lagundu	11054	8.3
gizon	10994	8.26
beno	10883	8.18
mesedez	10784	8.1
ze	10723	8.06
urduri	10721	8.05
musu	10718	8.05
keinu	10684	8.03
nahiko	10655	8
txar	10594	7.96
bota	10585	7.95
ezagutu	10569	7.94
berriro	10540	7.92
barru	10490	7.88
eder	10445	7.85
hara	10396	7.81
bizi	10361	7.78
ea	10346	7.77
eskatu	10322	7.75
haserre	10290	7.73
kaixo	10255	7.7
egiteko	10235	7.69
jaso	10162	7.63
txiki	10116	7.6
hain	10007	7.52
galdu	10005	7.52
ekarri	9978	7.5
bueno	9899	7.44
jende	9897	7.43
moduz	9846	7.4
heldu	9747	7.32
diru	9721	7.3
gustatu	9613	7.22
kafe	9594	7.21
itxaso	9582	7.2
segitu	9581	7.2
aurrera	9568	7.19
kendu	9544	7.17
ala	9543	7.17
kontatu	9443	7.09
hobe	9421	7.08
taberna	9317	7
ia	9225	6.93
ahaztu	9215	6.92
zain	9181	6.9
baietz	9126	6.86
hor	9108	6.84
non	9101	6.84
tximista	9068	6.81
iruditu	9028	6.78
benetan	8993	6.76
moztu	8993	6.76
maite	8924	6.7
ume	8901	6.69
gaizki	8877	6.67
pozik	8822	6.63
gutxi	8819	6.62
iritsi	8804	6.61
konturatu	8721	6.55
agertu	8609	6.47
jarrai	8598	6.46
seguru	8557	6.43
gela	8506	6.39
gelditu	8500	6.38
halako	8426	6.33
oraintxe	8372	6.29
erdi	8299	6.23
min	8287	6.22
itzuli	8247	6.19
arrazoi	8239	6.19
lo	8228	6.18
bada	8159	6.13
horrelako	8158	6.13
saiatu	8137	6.11
aldatu	8108	6.09
gogo	8061	6.05
denbora	8053	6.05
bide	8042	6.04
aurkitu	8035	6.04
barrez	7984	6
mutil	7969	5.99
itxi	7927	5.95
bestela	7900	5.93
han	7866	5.91
lur	7831	5.88
bila	7826	5.88
arazo	7824	5.88
mila	7813	5.87
seme	7767	5.83
azkenean	7734	5.81
pare	7714	5.79
batera	7659	5.75
bete	7620	5.72
behintzat	7586	5.7
jan	7541	5.66
bitarte	7511	5.64
kanpo	7508	5.64
pixka	7496	5.63
bezero	7479	5.62
honetan	7469	5.61
gustu	7330	5.51
gainean	7313	5.49
bukatu	7272	5.46
bitartean	7221	5.42
zuri	7219	5.42
ondoren	7197	5.41
hizketa	7133	5.36
ireki	7114	5.34
erabaki	7079	5.32
azaldu	6968	5.23
zabaldu	6950	5.22
negar	6934	5.21
jakina	6799	5.11
bulego	6796	5.1
hil	6792	5.1
elkarrekin	6775	5.09
hizketan	6771	5.08
ese	6727	5.05
ezetz	6713	5.04
kasu	6703	5.03
gogor	6684	5.02
presa	6672	5.01
paper	6664	5
irakurri	6650	4.99
gau	6633	4.98
bertan	6593	4.95
izate	6582	4.94
horregatik	6553	4.92
nahikoa	6552	4.92
agur	6549	4.92
leku	6544	4.91
begirada	6528	4.9
orde	6504	4.88
erakutsi	6500	4.88
hobeto	6451	4.84
beso	6418	4.82
berehala	6354	4.77
pentsakor	6346	4.77
ezagutza	6327	4.75
sukalde	6235	4.68
uzta	6193	4.65
ertzain	6156	4.62
asmo	6113	4.59
hauek	6105	4.58
buelta	6058	4.55
prestatu	6030	4.53
harrapatu	6025	4.52
poztu	6005	4.51
ai	5955	4.47
argi	5940	4.46
bizitza	5912	4.44
baita	5906	4.43
ohe	5901	4.43
oker	5889	4.42
ote	5883	4.42
ordea	5868	4.41
bale	5864	4.4
herri	5860	4.4
duda	5843	4.39
omen	5782	4.34
poltsa	5769	4.33
konpondu	5742	4.31
goiz	5723	4.3
zutitu	5723	4.3
zein	5625	4.22
polit	5607	4.21
gustura	5602	4.21
huts	5551	4.17
gogoratu	5525	4.15
galdetu	5514	4.14
noiz	5495	4.13
zenbat	5433	4.08
aho	5416	4.07
agian	5398	4.05
norbait	5395	4.05
goxo	5378	4.04
besarkatu	5345	4.01
jota	5329	4
alaba	5311	3.99
txantxa	5301	3.98
erru	5254	3.94
normal	5254	3.94
buruz	5249	3.94
samar	5238	3.93
ahal	5194	3.9
hainbeste	5171	3.88
irri	5166	3.88
gai	5150	3.87
inguru	5133	3.85
jantzi	5132	3.85
urte	5129	3.85
gezur	5125	3.85
lortu	5121	3.84
falta	5113	3.84
itxura	5089	3.82
lasaitu	5081	3.81
dudan	5080	3.81
zalantza	5075	3.81
gazte	5057	3.8
batere	5043	3.79
berdin	5020	3.77
garbi	5010	3.76
eroan	4970	3.73
erraz	4963	3.73
eten	4958	3.72
amai	4956	3.72
zuzen	4947	3.71
nagusi	4907	3.68
horren	4886	3.67
